Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Total Funding Amount
Rocana,https://www.crunchbase.com/organization/rocana,"Big Data, Business Intelligence, Information Technology","San Francisco, California, United States","Rocana is a San Francisco, CA-based provider of root cause analysis software company","7,128","$19,400,000"
Wercker,https://www.crunchbase.com/organization/wercker,"Cloud Computing, Enterprise Software, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands","Wercker is a platform and tool to rapidly develop, build, and deploy containerized applications and microservices for the modern cloud.","8,016","$7,900,000"
Pusher,https://www.crunchbase.com/organization/pusher,"Cloud Computing, Enterprise Software, Real Time","London, England, United Kingdom","Pusher is a cloud-based tech platform enabling developers to create collaborative tools, multiplayer games, chat and real-time dashboards.","8,452","$3,500,000"
Midokura,https://www.crunchbase.com/organization/midokura,"Cloud Computing, Cloud Management, Network Security, Open Source, Software, Virtualization","Tokyo, Tokyo, Japan",Midokura is a cloud networking technology platform.,"8,611","$38,647,418"
Apcera,https://www.crunchbase.com/organization/apcera,"Cloud Computing, Cloud Infrastructure, Cloud Security, Enterprise Software, Software","San Francisco, California, United States",The Apcera cloud platform helps enterprises innovate at speed with full confidence and trust.,"8,984","$7,200,000"
OpsClarity Inc.,https://www.crunchbase.com/organization/opsclarity,"Big Data, Cloud Infrastructure, Information Technology","Sunnyvale, California, United States",Intelligent Monitoring for Modern Applications and Data Infrastructure,"9,080","$21,230,740"
PLUMgrid,https://www.crunchbase.com/organization/plumgrid,"Enterprise Software, Infrastructure, Web Hosting","Santa Clara, California, United States",PLUMgrid is involved in virtual networking and SDN/NFV to deliver cloud infrastructure solutions that transform businesses.,"9,236","$48,006,848"
Intel,https://www.crunchbase.com/organization/intel,"Hardware, Manufacturing, Product Design, Semiconductor","Santa Clara, California, United States","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.","9,708","$2,510,000"
Platform.sh,https://www.crunchbase.com/organization/commerce-guys,"Cloud Management, E-Commerce, Internet, Open Source, PaaS, Software","Paris, Ile-de-France, France","Platform.sh is an automated, continuous-deployment high-availability cloud hosting solution","9,885","$13,300,000"
PingCAP,https://www.crunchbase.com/organization/pingcap,"Big Data, Database, Open Source, Software","Beijing, Beijing, China","PingCAP is the team behind TiDB, an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database.","10,304","$21,600,000"
Amazon Web Services,https://www.crunchbase.com/organization/amazon-web-services,"Information Services, Information Technology, Software, Web Development","Seattle, Washington, United States",Amazon Web Services provides information technology infrastructure services to businesses in the form of web services.,"10,522",
Containership,https://www.crunchbase.com/organization/containership,"Cloud Computing, Cloud Infrastructure, Cloud Management, Data Center Automation, Developer Platform, Web Hosting","Pittsburgh, Pennsylvania, United States",Containership is a Kubernetes based enterprise Containers-as-a-Service platform with support for 12 cloud providers,"10,730","$2,606,729"
Ansible,https://www.crunchbase.com/organization/ansible,"Cloud Computing, Enterprise Applications, Enterprise Software, Software","Santa Barbara, California, United States",Ansible is an automation engine that makes systems and applications simple to deploy.,"11,426","$6,000,000"
RethinkDB,https://www.crunchbase.com/organization/rethinkdb,"Database, Enterprise Software, Open Source, Real Time","Mountain View, California, United States",RethinkDB is an open-source distributed NoSQL database storing JSON documents and scaling data for applications.,"11,464","$12,200,000"
StorageOS,https://www.crunchbase.com/organization/storageos,"Cloud Computing, Data Storage, Database, Enterprise Software, Software","London, England, United Kingdom",Persistent storage for containers and the cloud,"12,176","$2,000,000"
SaltStack,https://www.crunchbase.com/organization/saltstack,"Apps, Automotive, Cloud Management, Enterprise Software, Infrastructure, Open Source","Lehi, Utah, United States",SaltStack intelligent orchestration software helps enterprise IT ops & DevOps teams configure & manage the software-defined datacenter.,"12,330","$685,000"
"Anchore, Inc.",https://www.crunchbase.com/organization/anchore-inc,"Computer, Enterprise Software, Information Technology, SaaS","Santa Barbara, California, United States","Discover, analyze, and certify containers on your own terms.","13,085","$7,000,000"
Graylog,https://www.crunchbase.com/organization/graylog,"Analytics, Enterprise Software, Open Source, Software","Houston, Texas, United States","Graylog is a fully integrated platform for collecting, indexing, and analyzing.","13,210","$4,400,000"
Librato,https://www.crunchbase.com/organization/librato,"Cloud Computing, SaaS, Software","San Francisco, California, United States",Real time operations analytics for metrics from any source,"13,322","$5,050,000"
Stackdriver,https://www.crunchbase.com/organization/stackdriver,"Apps, Cloud Computing, Enterprise Software, Infrastructure","Boston, Massachusetts, United States",Stackdriver provides monitoring services for cloud-powered applications.,"13,387","$15,000,000"
Giant Swarm,https://www.crunchbase.com/organization/giant-swarm,"Cloud Computing, Information Technology","Cologne, Nordrhein-Westfalen, Germany",Managed Kubernetes Anywhere,"13,626","$3,325,000"
3scale,https://www.crunchbase.com/organization/3scale,"Developer APIs, Enterprise Software, Infrastructure, Software","San Francisco, California, United States","3scale’s API management platform empowers API providers to easily package, distribute, manage and monetize APIs.","14,135","$5,000,000"
Cloud 66,https://www.crunchbase.com/organization/cloudblocks,"IaaS, PaaS, SaaS, Software","London, England, United Kingdom","Ops tools for Devs. Build, manage and maintain applications on any cloud","14,602","$2,240,385"
Fujitsu,https://www.crunchbase.com/organization/fujitsu,"Cloud Computing, Cloud Infrastructure, Enterprise Software, IT Infrastructure","North Sydney, New South Wales, Australia",Fujitsu provides information technology and communications solutions.,"14,952",
Netsil,https://www.crunchbase.com/organization/netsil,Software,"San Francisco, California, United States",Observability and Monitoring for Modern Cloud Applications,"15,129","$150,000"
Opbeat,https://www.crunchbase.com/organization/opbeat,Software,"San Francisco, California, United States",APM for JavaScript,"15,146","$2,800,000"
Distelli,https://www.crunchbase.com/organization/distelli-inc,"Cloud Computing, Cloud Infrastructure, Developer Tools, Enterprise Software, SaaS","Seattle, Washington, United States",True Continuous Delivery from Source Control to Servers.,"15,410","$2,875,000"
CoScale,https://www.crunchbase.com/organization/co-scale,"Enterprise Software, Information Services, Information Technology","Gent, Oost-Vlaanderen, Belgium",Full stack performance monitoring. Built for container and microservices applications. Powered by anomaly detection.,"15,425","€3,000,000"
Pachyderm,https://www.crunchbase.com/organization/pachyderm,"Analytics, Big Data, Developer APIs, Infrastructure","San Francisco, California, United States",Pachyderm is an open source analytics engine that uses Docker containers for distributed computations.,"15,676","$2,120,000"
CloudCoreo,https://www.crunchbase.com/organization/cloudcoreo,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Information Technology","Seattle, Washington, United States",CloudCoreo is building a next generation cloud management platform.,"15,699","$2,900,000"
Server Density,https://www.crunchbase.com/organization/server-density,"Enterprise Software, IaaS, SaaS","London, England, United Kingdom",Server Density is a SaaS product that helps users manage and monitor their infrastructure.,"17,075","$2,094,514"
Ubuntu,https://www.crunchbase.com/organization/ubuntu,"Operating Systems, Software","London, England, United Kingdom","Ubuntu is a Debian-based open source Linux operating system for PC, tablet, phone, and cloud platforms.","17,784","$12,900,000"
Outlyer,https://www.crunchbase.com/organization/outlyer,"Enterprise Software, Information Technology, IT Infrastructure, SaaS","San Francisco, California, United States",Infrastructure monitoring platform made for DevOps and microservices.,"17,903","$5,480,000"
Dell EMC,https://www.crunchbase.com/organization/dell-emc,"Big Data, Cloud Infrastructure, Data Center, Information Technology","Hopkinton, Massachusetts, United States",Dell EMC enables digital transformation with trusted solutions for the modern data center.,"17,932",
SENSU,https://www.crunchbase.com/organization/sensu,"Affiliate Marketing, Cloud Data Services, E-Commerce, Social Media","Tokyo, Tokyo, Japan",Managing Creative Obsessions,"18,567","$2,530,000"
Infinit,https://www.crunchbase.com/organization/infinit,"Data Storage, Infrastructure","Paris, Ile-de-France, France",Infinit International Inc. is a venture backed company specializing in storage technologies.,"19,911","$2,240,000"
CFEngine,https://www.crunchbase.com/organization/cfengine,"Computer, IT Infrastructure, Software","Palo Alto, California, United States","CFEngine is a pioneer in IT Automation. It radically simplifies and automates how companies build, consume infrastructure and devices","20,034","$13,000,000"
NetApp,https://www.crunchbase.com/organization/netapp,"Cloud Computing, Data Storage, Information Technology","Sunnyvale, California, United States",NetApp offers storage and data management solutions that enable customers to accelerate business innovations and achieve cost efficiencies.,"20,092",
Datawire,https://www.crunchbase.com/organization/datawire,"Cloud Infrastructure, IT Infrastructure, Open Source","Cambridge, Massachusetts, United States",An early stage startup that's focused on making it easy for developers to build resilient microservices.,"20,948","$250,000"
Gluster,https://www.crunchbase.com/organization/gluster,"Enterprise Software, Open Source, Service Industry","Sunnyvale, California, United States","Gluster is an open source, distributed file system that is capable of scaling to several petabytes and handling many clients.","22,800","$12,500,000"
Containous,https://www.crunchbase.com/organization/containous,"Data Center, Infrastructure, Software","Lyon, Rhone-Alpes, France",Containous creates open-source infrastructure software for the modern datacenter. Containous is the company behind Traefik.,"23,352","€1,000,000"
F5 Networks,https://www.crunchbase.com/organization/f5-networks,"Consumer Electronics, Meeting Software, Security, Virtualization","Seattle, Washington, United States",F5 Networks provides application delivery networking technology that optimizes the delivery of network-based applications.,"24,409",
Gravitational,https://www.crunchbase.com/organization/gravitational,"Privacy, SaaS","San Francisco, California, United States",Gravitational deploys and runs your SaaS on private clouds.,"25,046","$120,000"
Flynn,https://www.crunchbase.com/organization/flynn,"A/B Testing, Information Technology, Software","Newark, Delaware, United States",The product that ops provides to developers.,"25,194","$1,405,000"
Google Cloud Platform,https://www.crunchbase.com/organization/google-cloud-platform,"Cloud Computing, Cloud Data Services, Developer Platform","San Francisco, California, United States",Google Cloud Platform is a tool suite for app developers.,"25,410",
Oracle Corporation,https://www.crunchbase.com/organization/oracle,"Collaboration, Computer, Enterprise Software, Information Technology","Redwood Shores, California, United States",Oracle is a computer technology corporation developing and marketing computer hardware systems and enterprise software products.,"25,519",
Octopus Deploy,https://www.crunchbase.com/organization/octopus-deploy,"Developer Platform, Management Information Systems, Software","Australia, Oceania",Octopus Deploy is a user-friendly release management,"27,221","$2,000,000"
Convox,https://www.crunchbase.com/organization/convox,"Internet, Software","San Francisco, California, United States",Launch a Private Cloud in Minutes.,"27,760","$120,000"
magnetic.io,https://www.crunchbase.com/organization/magnetic-io,"Cloud Infrastructure, Developer Tools, E-Commerce, Internet, IT Infrastructure, Mobile, PaaS, SaaS, Test and Measurement","Amsterdam, Noord-Holland, The Netherlands",The Canary test & release platform for containers,"33,078","€635,000"
ManageIQ,https://www.crunchbase.com/organization/manageiq,"Cloud Management, Software","Mahwah, New Jersey, United States","ManageIQ is a commercial open-source software firm enabling organizations to deploy, manage and optimize private, public and hybrid clouds.","35,264","$5,400,000"
Drone.io,https://www.crunchbase.com/organization/drone-io,"Cloud Computing, Software, Test and Measurement","San Francisco, California, United States",Drone.io is a hosted Continuous Integration and Deployment service.,"38,858","$28,000"
Kubernetes,https://www.crunchbase.com/organization/kubernetes,"Business Information Systems, Business Intelligence, Cloud Computing, Cloud Data Services","San Francisco, California, United States","Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications.","40,598",
Canonical,https://www.crunchbase.com/organization/canonical-ltd,"Cloud Computing, Internet of Things, Linux, Open Source","London, England, United Kingdom",Canonical is a computer software company that markets commercial support and related services for Ubuntu and related projects.,"42,700",
Alibaba Cloud,https://www.crunchbase.com/organization/alibaba-cloud,"Cloud Data Services, Cloud Management, Data Center","Hangzhou, Zhejiang, China",Alibaba Cloud develops highly scalable cloud computing and data management services.,"46,252",
Bitnami,https://www.crunchbase.com/organization/bitnami,"Blogging Platforms, Cloud Computing, Content, Open Source, Software, Web Hosting","San Francisco, California, United States","Loved by Devs, Trusted by Ops. Easy to use cloud images, containers, and VMs that work on any platform","46,946",
Cloud Foundry,https://www.crunchbase.com/organization/cloud-foundry,"Cloud Data Services, Communities, Information Technology, Open Source, PaaS, Software","San Mateo, California, United States","Cloud Foundry is a self-service, public cloud deployment platform enabling developers to build, test, deploy, and scale applications.","56,547",
Travis CI,https://www.crunchbase.com/organization/travis-ci,"Enterprise Software, Information Technology, Web Apps","Berlin, Berlin, Germany",Hosted Continuous Integration Platform,"59,288",
OpenStack,https://www.crunchbase.com/organization/openstack,"Cloud Computing, Enterprise Software, Open Source","Austin, Texas, United States",OpenStack is the most widely used open source software for building public and private clouds.,"60,056",
Suse,https://www.crunchbase.com/organization/suse,"Enterprise Software, Linux, Software","Nürnberg, Bayern, Germany","SUSE is an open-source software provider that delivers Linux and cloud products, which gives enterprises the control and flexibility.","60,556",
Microsoft Azure Certified,https://www.crunchbase.com/organization/microsoft-azure-certified,"Analytics, Cloud Data Services, Mobile Devices",,"Microsoft Azure Certified offers cloud services in analytics, computing, databases, mobile devices, networking, and web and storage.","60,948",
Vertica Systems,https://www.crunchbase.com/organization/vertica-systems,"Analytics, Enterprise Software, Real Time","Billerica, Massachusetts, United States",Vertica Systems develops data management solutions for storing databases and allowing clients to conduct real-time and ad hoc queries.,"62,626","$30,500,000"
Kasten,https://www.crunchbase.com/organization/kasten,"Cloud Storage, Infrastructure, Software","Los Altos, California, United States",Kasten,"63,257",
Cloud Native Computing Foundation (CNCF),https://www.crunchbase.com/organization/cloud-native-computing-foundation,"Cloud Computing, Cloud Infrastructure, Non Profit, Open Source","San Francisco, California, United States",CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.,"63,493",
quay.io,https://www.crunchbase.com/organization/quay-io,Software,"New York, New York, United States",Quay.io is a private hosted docker registry.,"63,761",
Grafana Labs,https://www.crunchbase.com/organization/raintank,"Analytics, Infrastructure, Open Source","New York, New York, United States",the defacto standard for visualizing time series data.,"64,875",
Bitbucket,https://www.crunchbase.com/organization/bitbucket,"Enterprise Software, Software Engineering, Web Development","San Francisco, California, United States","Bitbucket is a Git and Mercurial code management and collaboration platform used by professional teams to build, test and deploy software.","66,102",
MySQL,https://www.crunchbase.com/organization/mysql,"Enterprise Software, Lighting, Open Source","Cupertino, California, United States",MySQL is an open-source database that supports scalable web-based and embedded database applications.,"66,460","$40,800,000"
"Circonus, Inc.",https://www.crunchbase.com/organization/circonus,"SaaS, Software","Fulton, Maryland, United States",Realtime Monitoring and Analytics,"67,064",
Cloudify,https://www.crunchbase.com/organization/cloudify,"Cloud Computing, Consulting, Consumer Electronics","New York, New York, United States",Cloudify assists organizations in integrating cloud computing into their business strategies and managing infrastructure environments.,"68,185",
Nirmata,https://www.crunchbase.com/organization/nirmata,"Cloud Computing, Enterprise Software, PaaS, Software","San Jose, California, United States","Nirmata is a cloud based, Microservices operations and management platform.","68,487",
Covalent IO,https://www.crunchbase.com/organization/covalent-io,,,"Covalent builds Cilium, an HTTP-aware network security layer for microservices platforms.","69,525",
Kontena,https://www.crunchbase.com/organization/kontena,"Cloud Infrastructure, Information Technology","New York, New York, United States","Kontena provides the most easy-to-use, fully integrated solution for DevOps to deploy, run, monitor & operate containers on the cloud.","71,573",
Nuage Networks,https://www.crunchbase.com/organization/nuage-networks,"Information Technology, Telecommunications, Training","California, Kentucky, United States",Nuage Networks Fundamentals: Software Defined Networking for the Datacenter and Beyond.,"72,838",
StackState,https://www.crunchbase.com/organization/stackstate,Information Technology,"Utrecht, Utrecht, The Netherlands",The market-leading Algorithmic IT Operations platform,"72,893",
Hadoop,https://www.crunchbase.com/organization/hadoop,"Open Source, Software",,Hadoop is open-source software framework that facilitates the distributed storage of data across clusters of computers.,"73,009",
Scytale.io,https://www.crunchbase.com/organization/scytale-io,Developer Platform,"San Francisco, California, United States","Scytale.io help engineers securely and easily build identity-drive, large-scale distributed software using technologies like SPIFFE.io.","73,404",
Nagios,https://www.crunchbase.com/organization/nagios,Information Technology,"Saint Paul, Minnesota, United States","Nagios Enterprises offers monitoring and alerting solutions for servers, switches, applications, and services.","74,911",
Solano Labs,https://www.crunchbase.com/organization/solano-labs,"Cloud Computing, Cloud Infrastructure, Developer Tools, Enterprise Software, Innovation Management, SaaS, Software, Web Development","San Francisco, California, United States",Continuous Integration & Deployment,"76,617",
Scaleway,https://www.crunchbase.com/organization/scaleway,"Cloud Computing, IaaS, Software, Web Hosting","Paris, Ile-de-France, France",Scaleway is the world's first Cloud Computing IaaS platform,"77,003",
OpenShift,https://www.crunchbase.com/organization/openshift,"Apps, Developer Platform, Software","Raleigh, North Carolina, United States",OpenShift is an open hybrid cloud application platform by Red Hat.,"78,339",
Galactic Fog,https://www.crunchbase.com/organization/galactic-fog,Information Technology,"South Orange, New Jersey, United States",Build Future-Proof Applications. Simplify integration. Run applications anywhere. Adapt to changes instantly.,"79,022",
Rabbit Technologies,https://www.crunchbase.com/organization/rabbit-technologies,"Cloud Computing, Internet, Messaging, Open Source, Software","London, England, United Kingdom",Rabbit Technologies offers RabbitMQ which is open source message broker software implementing the advanced message queuing protocol (AMQP).,"79,723",
SemaphoreCI,https://www.crunchbase.com/organization/semaphore,"SaaS, Software","Novi Sad, Vojvodina, Serbia",Hosted continuous integration and deployment service,"82,436",
Apache Software Foundation,https://www.crunchbase.com/organization/apache,"Non Profit, Software","Forest Hill, Maryland, United States","Apache Software Foundation (501C3) provides organizational, legal and financial support for Apache open-source software projects.","84,483",
Hyper_,https://www.crunchbase.com/organization/hyper-4,"Cloud Computing, Cloud Data Services, Cloud Security","New York, New York, United States",Hyper_ is a secure container cloud service.,"85,330",
Helm Solutions,https://www.crunchbase.com/organization/helm-solutions,"Cyber Security, Information Technology, Legal","New York, New York, United States",A global cyber security and technology firm that provides legal and compliance solutions to government and the Enterprise.,"85,350",
Sematext,https://www.crunchbase.com/organization/sematext,"Analytics, Big Data, Consulting, Enterprise Software, Search Engine","Brooklyn, New York, United States",Sematext is a Search and Big Data analytics products and services company.,"86,097",
Exoscale,https://www.crunchbase.com/organization/exoscale,"Cloud Computing, IaaS, SaaS","Lausanne, Vaud, Switzerland","The best cloud hosting platform for SaaS companies, developers and systems administrators","86,749",
HAProxy Technologies,https://www.crunchbase.com/organization/haproxy-technologies,,"Waltham, Massachusetts, United States","HAProxy offers a full line of load balancers to improve Perf, guarantee QoS and ensure the availability of critical business applications.","86,853",
Zabbix,https://www.crunchbase.com/organization/zabbix,Software,"Riga, Riga, Latvia","ZABBIX SIA is based in Riga, Latvia.","87,664",
Honeybadger,https://www.crunchbase.com/organization/honeybadger,"Software, Web Development","Kirkland, Washington, United States","Exception, uptime, and performance monit","89,318",
Buildkite,https://www.crunchbase.com/organization/buildkite,Software,,Buildkite creates the best automation and collaboration tools for building and shipping software.,"90,213",
Turbine Labs,https://www.crunchbase.com/organization/turbine-labs-2,,,Turbine Labs,"94,227",
Kublr,https://www.crunchbase.com/organization/kublr,,"Washington, District of Columbia, United States",Production-ready cluster and application platform that speeds and simplifies the set-up and management of your K8S cluster.,"94,312",
Rundeck,https://www.crunchbase.com/organization/rundeck,"Database, Open Source, Software",,Job Scheduler and Runbook Automation,,
Jenkins CI,https://www.crunchbase.com/organization/jenkins-ci,"Open Source, Software","San Francisco, California, United States",Jenkins CI is an open-source continuous integration server that supports various configurations.,,
Openebs,https://www.crunchbase.com/organization/openebs,Apps,"Bengaluru, Karnataka, India",OpenEBS is a scalable storage platform for spinning out containerized block storage volumes for use by container applications.,,
PostgreSql,https://www.crunchbase.com/organization/postgresql,Information Technology,,PostgreSQL is an object-relational database management system with an emphasis on extensibility and standards-compliance.,,
Bluemeric,https://www.crunchbase.com/organization/bluemeric,"Consulting, Developer Tools, PaaS","Seattle, Washington, United States",Bluemeric Inc offers microservices PaaS platform and offers DevOps consulting & services to automate cloud deployments.,,
Appveyor Systems Inc.,https://www.crunchbase.com/organization/appveyor-systems-inc,,,Appveyor Systems Inc. aim is to give powerful continuous integration and deployment tools to every .NET developer.,,
Infrakit,https://www.crunchbase.com/organization/infrakit,"Construction, Enterprise Software, Infrastructure","Helsinki, Southern Finland, Finland",Infrakit is a practical solution on how to best utilize BIM in road and rail projects.,,
Supergiant,https://www.crunchbase.com/organization/supergiant,Software,,"Supergiant is the first datacenter total control system that makes it easy to manage stateful, distributed app containers.",,
Icinga,https://www.crunchbase.com/organization/icinga,,,Icinga is a monitoring software project that began as a fork of Nagios.,,
Centreon,https://www.crunchbase.com/organization/centreon,IT Management,"Paris, Ile-de-France, France",An industry reference for open source monitoring,,
"Meros, Inc.",https://www.crunchbase.com/organization/meros-inc,"Enterprise Software, Software","Clearwater, Florida, United States",Meros is creating enterprise monitoring and management tools for Docker,,
Webtask,https://www.crunchbase.com/organization/webtask,"Developer Tools, Information Technology, Security",,"Webtasks is a simple, lightweight, and secure way of running isolated backend code that removed or reduces the need for a backend.",,
Ceph Storage,https://www.crunchbase.com/organization/ceph-storage,"Enterprise Software, Flash Storage, Service Industry","Los Angeles, California, United States","Ceph is the future of storage, created and delivered by a global community of storage engineers and researchers.",,
OpenFaaS Ltd,https://www.crunchbase.com/organization/openfaas,"Enterprise Software, Internet, Internet of Things, Software Engineering","Peterborough, Peterborough, United Kingdom","OpenFaaS provides a platform for building serverless functions with containers, anywhere (in cloud, on Edge or IoT devices, on-prem DCs)",,
Scalingo,https://www.crunchbase.com/organization/scalingo,"Apps, Developer Platform, Information Technology","Strasbourg, Alsace, France","Scalingo a Docker Platform Service Transform your code as Docker container & run it on our cloud, making it instantly available & scalable. ",,
The Open API Initiative,https://www.crunchbase.com/organization/the-open-api-initiative,Developer APIs,"San Francisco, California, United States",Created by a consortium of forward-looking industry experts who recognize the immense value of standardizing on how REST APIs are described.,,
OpenContrail,https://www.crunchbase.com/organization/opencontrail,,"Sunnyvale, California, United States",OpenContrail is a community-led open source project committed to innovation in SDN and Network Virtualization.,,
Navops,https://www.crunchbase.com/organization/navops,,"Hoffman Estates, Illinois, United States","Navops Launch, Command, and Control your container-ready enterprise within minutes.",,
OpenSDS,https://www.crunchbase.com/organization/opensds,,,OpenSDS is an open source project established to address integration challenges for Storage Defined Storage (SDS) vendors.,,
Foreman,https://www.crunchbase.com/organization/foreman,,,Foreman is an open source lifecycle management tool for physical and virtual servers.,,
Project Atomic,https://www.crunchbase.com/organization/project-atomic,Communities,"Raleigh, North Carolina, United States",Project Atomic is a container-optimized operating system that integrates the tools and patterns of container-based application and more.,,
Glider Labs,https://www.crunchbase.com/organization/glider-labs,Cloud Computing,"Austin, Texas, United States",Help you build container-first cloud infrastructure and delivery pipelines.,,
Open vSwitch,https://www.crunchbase.com/organization/open-vswitch,Developer Tools,,Open vSwitch is a multilayer virtual switch licensed under the open source Apache 2.0 license.,,
Apache Mesos,https://www.crunchbase.com/organization/apache-mesos,,,Program against your datacenter like it’s a single pool of resources.,,
